draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,mu.1,mu.2,log_prob_data
0,-210.3846535679509,0.9247371009025357,0.17999487958991772,2.0,3.0,0.0,211.43298365125213,0.9420251683092579,0.057974831690742135,1.04053295006545,-1.1241401522239591,-1431.1755683823878
1,-210.13687537017128,0.9919316135167633,0.14739558195613633,3.0,15.0,0.0,210.87787375583954,0.9864196400947901,0.013580359905209893,0.9623995943279348,2.201764650120292,-1416.7966594767427
2,-208.11546084631098,0.9918895448732741,0.18067624985955,3.0,7.0,0.0,208.1897375902954,0.9121933667596279,0.08780663324037208,1.083658384810044,0.4124008203697462,-1419.0110568738655
3,-209.61849083909374,0.8676514438145878,0.16219070220603304,4.0,19.0,0.0,212.07905328307484,0.9783251791914018,0.021674820808598172,0.9480505553010233,2.0974351795559594,-1416.799392474972
4,-209.35279554848157,0.9070939925604573,0.17999487958991772,4.0,15.0,0.0,211.8783247889024,0.9703040347961521,0.029695965203847874,1.044618534005116,-0.7208913015063211,-1420.265857737005
5,-210.02058087674237,0.964452120916599,0.14739558195613633,2.0,7.0,0.0,211.0708119864817,0.977504239544759,0.022495760455241043,1.002017216985196,2.207878294230046,-1419.3264898144657
6,-207.88110589809347,0.9999003871391375,0.18067624985955,4.0,31.0,0.0,208.433611378302,0.11316661199897608,0.886833388001024,1.0943397866246143,0.8636633124380373,-1418.4327832588915
7,-210.89909992035538,0.9428361055068109,0.16219070220603304,3.0,15.0,0.0,212.02574395567387,0.9701694728041216,0.02983052719587842,1.0501357556120894,2.4600143403008246,-1426.190942208001
8,-207.40833854535617,0.9975346765490288,0.17999487958991772,4.0,23.0,0.0,210.37664855434434,0.8448080128069461,0.15519198719305394,1.0782886530903717,0.3681112995899871,-1417.5703286843286
9,-207.97976891312175,0.9838635642771641,0.14739558195613633,4.0,31.0,0.0,210.45199733944784,0.3655929253403773,0.6344070746596226,1.2280512469339446,0.6086690149832031,-1424.9569459115153
10,-209.84727799542515,0.8979034859319185,0.18067624985955,4.0,15.0,0.0,211.15943398085489,0.01762647744208502,0.982373522557915,0.9006788268040774,1.044064424478245,-1419.913133857651
11,-210.38858556651223,0.9952565568094549,0.16219070220603304,3.0,15.0,0.0,212.1211940550844,0.8767552910064561,0.1232447089935439,0.7107738933616077,2.2532444077881704,-1433.1221882212328
12,-207.96347975344725,0.9578587869950131,0.17999487958991772,3.0,15.0,0.0,208.65555018275606,0.9242275742044874,0.07577242579551258,0.9955174413036956,0.15438013379479323,-1417.3180376747985
13,-207.27875564986786,0.9275639011836275,0.14739558195613633,3.0,15.0,0.0,209.85577346057832,0.7093830148887897,0.29061698511121026,1.1149964031136523,0.831513209348817,-1419.2523268240534
14,-208.31917345812394,0.9826625454262625,0.18067624985955,4.0,15.0,0.0,210.59908084030042,0.07943208727051919,0.9205679127294808,1.1614437122816852,0.8553462332381156,-1419.1533180424283
15,-211.87655062956568,0.9152000690988222,0.16219070220603304,4.0,31.0,0.0,215.30305670986405,0.9268398593175294,0.07316014068247056,0.7955440507321744,2.9181063749954173,-1437.1028246413637
16,-208.708007245144,0.9517618077112627,0.17999487958991772,3.0,15.0,0.0,209.1140559140701,0.9113347241107259,0.08866527588927409,1.008948864076937,-0.33664140541010296,-1423.3489305527137
17,-208.01148811670726,0.9166286467689403,0.14739558195613633,4.0,15.0,0.0,209.84691484144287,0.299553695215996,0.7004463047840039,0.264424235526728,1.2367125238385615,-1424.7249870225503
18,-208.04771992995907,0.9997658703268028,0.18067624985955,3.0,7.0,0.0,208.61177493818755,0.07574479993389711,0.9242552000661028,1.0398312761036883,0.990897206588464,-1416.9925141354547
19,-208.5865893975061,1.0,0.16219070220603304,4.0,15.0,0.0,212.50229588813232,0.9631208271573002,0.036879172842699814,0.9385071323380132,0.49703236598011374,-1416.83535224493
20,-208.4625235402115,0.8445307728517395,0.17999487958991772,3.0,15.0,0.0,210.9255933238137,0.8783981513600169,0.12160184863998313,1.162409249783615,0.3535997411142887,-1423.2831306934404
21,-208.89185712872433,0.9594529744449637,0.14739558195613633,2.0,3.0,0.0,208.98063569764744,0.36421008598039756,0.6357899140196024,0.24441385282573955,1.3367226273771977,-1431.2739412586095
22,-208.55511912120693,0.9715378414117709,0.18067624985955,4.0,23.0,0.0,211.17552976799092,0.5369126533888657,0.46308734661113427,0.7367058424415973,1.4981124829752026,-1428.6272361164943
23,-209.2731824814962,0.9993002075262037,0.16219070220603304,4.0,15.0,0.0,209.76445679562153,0.02040630093958931,0.9795936990604107,0.8840151170116657,0.9129143992715036,-1417.1867257787071
24,-207.72881310130467,0.9443652955313806,0.17999487958991772,3.0,11.0,0.0,210.65128078098365,0.8523292869996393,0.14767071300036072,0.8424988682875918,1.1147367549011449,-1418.9372439287888
25,-208.76268180464174,1.0,0.14739558195613633,2.0,3.0,0.0,208.95862104213228,0.3657749286026195,0.6342250713973805,0.268289079214442,1.3412618999054893,-1430.3731568059502
26,-207.4285808195822,0.997090813381483,0.18067624985955,4.0,15.0,0.0,208.97295393950697,0.6455900545913618,0.35440994540863824,0.782420728468481,0.9876822711496259,-1421.306755117263
27,-209.090763589685,0.6351496594628483,0.16219070220603304,4.0,23.0,0.0,211.4614442229631,0.960419093995344,0.039580906004656025,0.9698210394596364,1.8866986100897472,-1417.8751176824712
28,-208.00935202846003,0.8679739297781096,0.17999487958991772,2.0,7.0,0.0,210.38917773845654,0.783044694463596,0.21695530553640396,1.1542968481030678,0.771641114570706,-1422.9681860610258
29,-207.66984223865052,0.7053129184896766,0.14739558195613633,4.0,31.0,0.0,210.95165292577857,0.5394926536777769,0.4605073463222231,0.5352895633132445,1.276595123821142,-1423.2584305510375
30,-206.69464896395206,0.969995433390859,0.18067624985955,1.0,3.0,0.0,207.8800386818305,0.5954300642903536,0.4045699357096464,0.8714312686385122,1.0821213703681665,-1416.296716517962
31,-210.46886100314444,0.9926264001759664,0.16219070220603304,3.0,7.0,0.0,211.33115284840497,0.9037655806758406,0.09623441932415944,0.7087644626048988,2.2410381781910416,-1432.227264795337
32,-208.0334127601873,0.9197189324676105,0.17999487958991772,4.0,19.0,0.0,210.34827877827775,0.07576236255510936,0.9242376374448906,0.15325839098360197,1.0521081054890546,-1417.7005176847942
33,-207.5107428762264,0.702946884501276,0.14739558195613633,3.0,7.0,0.0,209.9020270447569,0.5542699855051165,0.4457300144948835,0.7479754875434099,1.392615081665687,-1421.6177090090355
34,-206.73651066399012,0.9918940088573549,0.18067624985955,3.0,11.0,0.0,207.56889741848323,0.3433853440409186,0.6566146559590814,0.8302610266947813,1.0050618752000982,-1416.3282558324615
35,-208.89849332168106,0.968656760646669,0.16219070220603304,2.0,3.0,0.0,211.93789095025343,0.8945105243143749,0.10548947568562506,0.801882208524211,2.066064528992902,-1422.472017191118
36,-208.32778496036346,0.9304385223817849,0.17999487958991772,1.0,3.0,0.0,208.4910687662703,0.08396352053408265,0.9160364794659174,0.16340889284301033,1.107377752578961,-1420.2765502867442
37,-207.88678761574357,0.8904725086113343,0.14739558195613633,3.0,7.0,0.0,208.9173681279387,0.8947375136776691,0.10526248632233093,0.9868078944060279,1.193530190402145,-1417.640461165597
38,-207.06902917759135,0.9974510499761783,0.18067624985955,4.0,15.0,0.0,208.12419873744267,0.6262145035252245,0.37378549647477555,0.9463367122862792,0.7710810148756856,-1419.0645105260282
39,-208.8907823661671,0.9659050312987636,0.16219070220603304,2.0,7.0,0.0,210.69026553769325,0.9562308487875033,0.04376915121249669,0.9897025047891118,1.5700512250241296,-1418.0697947481926
40,-210.0549012351187,0.9272420250609462,0.17999487958991772,3.0,9.0,0.0,210.69419938661767,0.019872691495236936,0.980127308504763,0.11722540425663108,0.8527697364346698,-1423.1619913364154
41,-206.70686467405056,0.9338288630368957,0.14739558195613633,4.0,15.0,0.0,209.01165227750136,0.4699772587663663,0.5300227412336337,1.1536190156541402,0.786518763397235,-1416.5960135904313
42,-207.0576424680299,0.9551303058003145,0.18067624985955,3.0,15.0,0.0,208.0544086417997,0.6926886434441254,0.3073113565558746,0.7626302890135472,1.277773131097264,-1417.7047638535328
43,-208.7321806473883,0.9980961789045028,0.16219070220603304,3.0,15.0,0.0,210.38784812673202,0.9429992045866878,0.057000795413312155,0.9688556781671785,1.748494384075109,-1418.2264803997143
44,-208.18523494258343,1.0,0.17999487958991772,3.0,15.0,0.0,210.99601302096957,0.10786601894887646,0.8921339810511235,0.27105957676945047,1.1272946235162735,-1420.7608376102685
45,-206.80886590380385,0.9415467689500162,0.14739558195613633,4.0,19.0,0.0,207.45502899256977,0.6294286921980291,0.3705713078019709,0.8890871672064024,1.1442507161845072,-1416.7166460112576
46,-207.09181024014802,0.9840574147487733,0.18067624985955,4.0,15.0,0.0,207.450115370677,0.3608063974489574,0.6391936025510425,1.228463099168176,0.9009308124093164,-1418.4021953134866
47,-207.418937850989,0.9324868213463915,0.16219070220603304,4.0,23.0,0.0,210.6870334067621,0.1332546495587883,0.8667453504412117,0.44575844603564563,1.0150149341896406,-1416.8276839370867
48,-208.05296122511896,0.6855559266677497,0.17999487958991772,3.0,11.0,0.0,211.18118546830036,0.2358490439130468,0.7641509560869532,0.44731289448841793,0.9481143571116055,-1424.3931735082692
